name,valid_from,valid_to,doc_link,id,version,url
Suvestinė nuo 2025-01-01,2025-01-01,3024-12-31,https://www.e-tar.lt/portal/lt/legalAct/TAR.C677663D2202/YwJVYMlVRt,TAR.C677663D2202,YwJVYMlVRt,https://www.e-tar.lt/rs/actualedition/TAR.C677663D2202/YwJVYMlVRt
Suvestinė nuo 2024-05-31,2024-05-31,2024-12-31,https://www.e-tar.lt/portal/lt/legalAct/TAR.C677663D2202/JhDnlQTopk,TAR.C677663D2202,JhDnlQTopk,https://www.e-tar.lt/rs/actualedition/TAR.C677663D2202/JhDnlQTopk
Suvestinė nuo 2024-01-01,2024-01-01,2024-05-30,https://www.e-tar.lt/portal/lt/legalAct/TAR.C677663D2202/ExnKtBqZbP,TAR.C677663D2202,ExnKtBqZbP,https://www.e-tar.lt/rs/actualedition/TAR.C677663D2202/ExnKtBqZbP
Suvestinė nuo 2023-01-01,2023-01-01,2023-12-31,https://www.e-tar.lt/portal/lt/legalAct/TAR.C677663D2202/fXfRYzrtTK,TAR.C677663D2202,fXfRYzrtTK,https://www.e-tar.lt/rs/actualedition/TAR.C677663D2202/fXfRYzrtTK
Suvestinė nuo 2022-11-10,2022-11-10,2022-12-31,https://www.e-tar.lt/portal/lt/legalAct/TAR.C677663D2202/WtwNpafQYE,TAR.C677663D2202,WtwNpafQYE,https://www.e-tar.lt/rs/actualedition/TAR.C677663D2202/WtwNpafQYE
Suvestinė nuo 2022-07-01,2022-07-01,2022-11-09,https://www.e-tar.lt/portal/lt/legalAct/TAR.C677663D2202/KArCzXWNDP,TAR.C677663D2202,KArCzXWNDP,https://www.e-tar.lt/rs/actualedition/TAR.C677663D2202/KArCzXWNDP
Suvestinė nuo 2022-06-01,2022-06-01,2022-06-30,https://www.e-tar.lt/portal/lt/legalAct/TAR.C677663D2202/xugpweeVct,TAR.C677663D2202,xugpweeVct,https://www.e-tar.lt/rs/actualedition/TAR.C677663D2202/xugpweeVct
Suvestinė nuo 2022-01-01,2022-01-01,2022-05-31,https://www.e-tar.lt/portal/lt/legalAct/TAR.C677663D2202/DGEzDzVcgK,TAR.C677663D2202,DGEzDzVcgK,https://www.e-tar.lt/rs/actualedition/TAR.C677663D2202/DGEzDzVcgK
Suvestinė nuo 2021-12-31,2021-12-31,2021-12-31,https://www.e-tar.lt/portal/lt/legalAct/TAR.C677663D2202/ulTTRNmIwa,TAR.C677663D2202,ulTTRNmIwa,https://www.e-tar.lt/rs/actualedition/TAR.C677663D2202/ulTTRNmIwa
Suvestinė nuo 2021-01-01,2021-01-01,2021-12-30,https://www.e-tar.lt/portal/lt/legalAct/TAR.C677663D2202/qOyCxJdFVe,TAR.C677663D2202,qOyCxJdFVe,https://www.e-tar.lt/rs/actualedition/TAR.C677663D2202/qOyCxJdFVe
